pass 1, stk 0, steps 0, max0 100, max1 0
pass 1, stk 0, steps 1, max0 99, max1 1
pass 1, stk 0, steps 2, max0 99, max1 1
pass 1, stk 0, steps 3, max0 99, max1 1
pass 1, stk 0, steps 5, max0 98, max1 2
pass 1, stk 0, steps 6, max0 98, max1 2
pass 1, stk 0, steps 7, max0 98, max1 2
pass 1, stk 0, steps 9, max0 97, max1 3
pass 1, stk 0, steps 10, max0 97, max1 3
pass 1, stk 0, steps 11, max0 96, max1 4
pass 1, stk 0, steps 12, max0 96, max1 4
pass 1, stk 0, steps 14, max0 95, max1 5
pass 1, stk 0, steps 15, max0 95, max1 5
pass 1, stk 0, steps 16, max0 95, max1 5
pass 1, stk 0, steps 17, max0 94, max1 6
pass 1, stk 0, steps 18, max0 94, max1 6
pass 1, stk 0, steps 20, max0 93, max1 7
pass 1, stk 0, steps 21, max0 93, max1 7
pass 1, stk 0, steps 22, max0 92, max1 8
pass 1, stk 0, steps 23, max0 92, max1 8
pass 1, stk 0, steps 24, max0 91, max1 9
pass 1, stk 0, steps 25, max0 91, max1 9
pass 1, stk 0, steps 26, max0 91, max1 9
pass 1, stk 0, steps 28, max0 90, max1 10
pass 1, stk 0, steps 29, max0 90, max1 10
pass 1, stk 0, steps 30, max0 89, max1 11
pass 1, stk 0, steps 31, max0 89, max1 11
pass 1, stk 0, steps 32, max0 89, max1 11
pass 1, stk 0, steps 34, max0 88, max1 12
pass 1, stk 0, steps 35, max0 88, max1 12
pass 1, stk 0, steps 36, max0 88, max1 12
pass 1, stk 0, steps 37, max0 88, max1 12
pass 1, stk 0, steps 38, max0 88, max1 12
pass 1, stk 0, steps 39, max0 87, max1 13
pass 1, stk 0, steps 41, max0 86, max1 14
pass 1, stk 0, steps 42, max0 86, max1 14
pass 1, stk 0, steps 44, max0 85, max1 15
pass 1, stk 0, steps 45, max0 85, max1 15
pass 1, stk 0, steps 46, max0 84, max1 16
pass 1, stk 0, steps 47, max0 83, max1 17
pass 1, stk 0, steps 48, max0 83, max1 17
pass 1, stk 0, steps 50, max0 82, max1 18
pass 1, stk 0, steps 51, max0 81, max1 19
pass 1, stk 0, steps 52, max0 81, max1 19
pass 1, stk 0, steps 53, max0 81, max1 19
pass 1, stk 0, steps 54, max0 80, max1 20
pass 1, stk 0, steps 55, max0 79, max1 21
pass 1, stk 0, steps 57, max0 78, max1 22
pass 1, stk 0, steps 59, max0 77, max1 23
pass 1, stk 0, steps 60, max0 77, max1 23
